current_path	legacy_path	kind	dictionary_class	status	current_bytes	current_lines	current_sha256	legacy_bytes	legacy_lines	legacy_sha256	note
data/wordlists/categories/conf_asset_short.txt	source/categories/conf_asset_short.txt	wordlist-category	typed-category	EXACT	293	19	c083e72bc86b00835fdf0e2fcff6b7cd437475ce80847d70741dfc02dab51eaa	293	19	c083e72bc86b00835fdf0e2fcff6b7cd437475ce80847d70741dfc02dab51eaa	mapped to pinned source
data/wordlists/categories/conf_short.txt	source/categories/conf_short.txt	wordlist-category	typed-category	EXACT	4514	216	596e5b062df20632f837f6abc83d29a2689c5c6f623311530b4757e4c5a23816	4514	216	596e5b062df20632f837f6abc83d29a2689c5c6f623311530b4757e4c5a23816	mapped to pinned source
data/wordlists/categories/config_short.txt	source/categories/config_short.txt	wordlist-category	typed-category	EXACT	1051	48	117a990c3b01e34f0f70747430c1f31464e8c7522e84f09eea675a8dc3b90a00	1051	48	117a990c3b01e34f0f70747430c1f31464e8c7522e84f09eea675a8dc3b90a00	mapped to pinned source
data/wordlists/categories/confluence-administration_short.txt	source/categories/confluence-administration_short.txt	wordlist-category	typed-category	EXACT	968	22	664bc856340c4f6527a938fe4e62bc6ee739b4b9ea02b64e19331caf9f99b679	968	22	664bc856340c4f6527a938fe4e62bc6ee739b4b9ea02b64e19331caf9f99b679	mapped to pinned source
data/wordlists/categories/copy_of_short.txt	source/categories/copy_of_short.txt	wordlist-category	typed-category	EXACT	43	5	e645bb4af6846ee448ad2dc40608e3a5ae3ac255ae31e010eba6f3d11e048c71	43	5	e645bb4af6846ee448ad2dc40608e3a5ae3ac255ae31e010eba6f3d11e048c71	mapped to pinned source
data/wordlists/categories/cpp_short.txt	source/categories/cpp_short.txt	wordlist-category	typed-category	EXACT	315	30	bbb4d4399411a93de04fbb257906c0fcefeeee89a297e4a2241cbcafba5c2fba	315	30	bbb4d4399411a93de04fbb257906c0fcefeeee89a297e4a2241cbcafba5c2fba	mapped to pinned source
data/wordlists/categories/csproj_short.txt	source/categories/csproj_short.txt	wordlist-category	typed-category	EXACT	2001	90	d35c858f0d1cf5d56cd6270f6eebfd7f601f04de25eaa6d7f279c063a5f8b580	2001	90	d35c858f0d1cf5d56cd6270f6eebfd7f601f04de25eaa6d7f279c063a5f8b580	mapped to pinned source
data/wordlists/categories/custom_mine_short.txt	source/categories/custom_mine_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	403692	19683	ea113a19a92f4dde86a0e826d5c63d96ef4f3887a8be18449f3f60be3406f34e	403691	19683	14f53023ae5f6e67a34713fe3c05068e72569b5ce9cbb348b94b6e468869f653	mapped to pinned source
data/wordlists/categories/dangerzone_a_short.txt	source/categories/dangerzone_a_short.txt	wordlist-category	typed-category	EXACT	11349	1410	4cb22f955a87a56c30a1f7347b7526e5c48b10055b648f8cd054a826b403e4f6	11349	1410	4cb22f955a87a56c30a1f7347b7526e5c48b10055b648f8cd054a826b403e4f6	mapped to pinned source
data/wordlists/categories/dangerzone_b_short.txt	source/categories/dangerzone_b_short.txt	wordlist-category	typed-category	EXACT	2166	305	0eb8c3cc0e255c891d870445b77e5e31016a51af9e32e0f515cc55ae5d551b21	2166	305	0eb8c3cc0e255c891d870445b77e5e31016a51af9e32e0f515cc55ae5d551b21	mapped to pinned source
data/wordlists/categories/db2_default_user_short.txt	source/categories/db2_default_user_short.txt	wordlist-category	typed-category	EXACT	41	5	ccf2a305d00ef6b6cce876bcb021afdfba2655c6c81b82ed8098d2eae8d6b2c0	41	5	ccf2a305d00ef6b6cce876bcb021afdfba2655c6c81b82ed8098d2eae8d6b2c0	mapped to pinned source
data/wordlists/categories/debug_short.txt	source/categories/debug_short.txt	wordlist-category	typed-category	EXACT	562	42	be22594f70b2c8ddf7fdfa702e8a74b10266c99d15f3afc01e91302b8a562362	562	42	be22594f70b2c8ddf7fdfa702e8a74b10266c99d15f3afc01e91302b8a562362	mapped to pinned source
data/wordlists/categories/default-web-root-directory-linux_short.txt	source/categories/default-web-root-directory-linux_short.txt	wordlist-category	typed-category	EXACT	197	13	2fd90b4a7a507481cca7d66fc8d9637508c517d0a18f16e49c312ed1ba050da6	197	13	2fd90b4a7a507481cca7d66fc8d9637508c517d0a18f16e49c312ed1ba050da6	mapped to pinned source
data/wordlists/categories/dir_short.txt	source/categories/dir_short.txt	wordlist-category	typed-category	EXACT	629113	58964	ce16d8791a8b812452f88cfcb5237d7e5fb47a7fbc5d598c9e00692d0c51e0b8	629113	58964	ce16d8791a8b812452f88cfcb5237d7e5fb47a7fbc5d598c9e00692d0c51e0b8	mapped to pinned source
data/wordlists/categories/dirbuster_short.txt	source/categories/dirbuster_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	71086	4188	4a946cf510c5fa2007038979c8402122bb834b7df55d48d3ef816c4b5e4e7e49	71085	4188	95e96f53ae32e204b9e8fe34e97238db043a210b27b34cd72b9a04733bb8dd4b	mapped to pinned source
data/wordlists/categories/directory_traversal_short.txt	source/categories/directory_traversal_short.txt	wordlist-category	typed-category	EXACT	1694	51	90cb6e5d5ad4eda686dbd333966540727609c6525fb2d3b2a93b81a8b7a0bb83	1694	51	90cb6e5d5ad4eda686dbd333966540727609c6525fb2d3b2a93b81a8b7a0bb83	mapped to pinned source
data/wordlists/categories/dirtraversal-nix_short.txt	source/categories/dirtraversal-nix_short.txt	wordlist-category	typed-category	EXACT	36376	272	ef96aaf170728be9b8efb21d62af53dd7bcf28f8762c5cb87a32a72a68f38751	36376	272	ef96aaf170728be9b8efb21d62af53dd7bcf28f8762c5cb87a32a72a68f38751	mapped to pinned source
data/wordlists/categories/dll_short.txt	source/categories/dll_short.txt	wordlist-category	typed-category	EXACT	4723	208	fcf0f91128e99f9b6808095f5479149c43971f1928b0a5f3fa53eb6098253aa5	4723	208	fcf0f91128e99f9b6808095f5479149c43971f1928b0a5f3fa53eb6098253aa5	mapped to pinned source
